service,response,language,persona,short
garage_door.toggle,De status van de garagedeur voor u omschakelen.,nl,assistant,0
garage_door.toggle,Ik zal nu de status van de garagedeur wijzigen.,nl,assistant,0
garage_door.toggle,De status van de garagedeur voor u wijzigen.,nl,assistant,0
garage_door.open,We nemen <device_name> voor je op,nl,assistant,0
garage_door.open,Open <device_name> nu,nl,assistant,0
garage_door.open,Verhoog <device_name> zoals gevraagd,nl,assistant,0
garage_door.stop,Positie van <device_name> wordt nu bevroren,nl,assistant,0
garage_door.stop,"Zeker, het stoppen van <device_name>",nl,assistant,0
garage_door.stop,Bewerking van <device_name> wordt stopgezet,nl,assistant,0
garage_door.open,<device_name> openen,nl,assistant,0
garage_door.stop,<device_name> stoppen,nl,assistant,0
garage_door.close,Sluit <device_name> nu,nl,assistant,0
garage_door.close,Ik verlaag <device_name> voor jou,nl,assistant,0
garage_door.close,Sluit <device_name> af zoals gevraagd,nl,assistant,0
garage_door.close,<device_name> sluiten,nl,assistant,0
garage_door.toggle,De status van <device_name> wordt nu omgedraaid,nl,assistant,0
garage_door.toggle,De status van <device_name> wordt gewijzigd zoals gevraagd,nl,assistant,0
garage_door.toggle,Ik schakel <device_name> voor u in,nl,assistant,0
garage_door.toggle,<device_name> omschakelen,nl,assistant,0
light.turn_on,Het licht voor u aandoen.,nl,assistant,0
light.turn_on,"Natuurlijk, ik doe nu het licht aan.",nl,assistant,0
light.turn_on,Ik ga door en doe het licht aan.,nl,assistant,0
light.turn_off,Doe het licht uit zoals gevraagd.,nl,assistant,0
light.turn_off,Ik doe het licht voor je uit.,nl,assistant,0
light.turn_off,"Zeker, het licht uitdoen.",nl,assistant,0
light.toggle,Het licht voor u aan of uit zetten.,nl,assistant,0
light.toggle,De status van het licht wordt nu gewijzigd.,nl,assistant,0
light.toggle,Ik doe het licht voor je aan.,nl,assistant,0
light.toggle,De status <device_name> omdraaien,nl,assistant,0
light.toggle,De status van <device_name> wordt gewijzigd zoals gevraagd,nl,assistant,0
light.toggle,Ik schakel <device_name> voor u in,nl,assistant,0
light.toggle,<device_name> omschakelen,nl,assistant,0
light.turn_on,Activering van <device_name> wordt uitgevoerd,nl,assistant,0
light.turn_on,"Zeker, als je <device_name> nu inschakelt",nl,assistant,0
light.turn_on,Ik schakel <device_name> voor u in,nl,assistant,0
light.turn_on,<device_name> inschakelen,nl,assistant,0
light.turn_on,<device_name> activeren,nl,assistant,0
light.turn_on,De helderheid van <device_name> instellen op <brightness>%.,nl,assistant,0
light.turn_on,<device_name> dimmen naar <brightness>% helderheid.,nl,assistant,0
light.turn_on,<device_name> lichter maken naar <brightness>%.,nl,assistant,0
light.turn_on,De helderheid van <device_name> aanpassen naar <brightness>.,nl,assistant,0
light.turn_on,De helderheid van <device_name> verhogen naar <brightness>.,nl,assistant,0
light.turn_on,De helderheid van <device_name> verlagen naar <brightness>.,nl,assistant,0
light.turn_on,Het helderheidsniveau van <device_name> instellen op <brightness>%.,nl,assistant,0
light.turn_on,Stel <device_name> in op <brightness>% helderheid.,nl,assistant,0
light.turn_on,<device_name> <color> veranderen.,nl,assistant,0
light.turn_on,De kleur van <device_name> wijzigen in <color>.,nl,assistant,0
light.turn_on,<device_name> wijzigen in een tint <color>.,nl,assistant,0
light.turn_on,Stel <device_name> in op <color>.,nl,assistant,0
light.turn_on,Laat <device_name> schitteren in <color>.,nl,assistant,0
light.turn_on,<device_name> in een <color> tint veranderen.,nl,assistant,0
light.turn_on,<device_name> instellen op een <color>.,nl,assistant,0
light.turn_on,<device_name> instellen op een <color> kleur.,nl,assistant,0
light.turn_on,Laat <device_name> oplichten <color>.,nl,assistant,0
light.turn_on,<device_name> veranderen in <color>.,nl,assistant,0
light.turn_on,Wijzig <device_name> in <color>.,nl,assistant,0
light.turn_on,De kleur van <device_name> aanpassen naar <color>.,nl,assistant,0
light.turn_on,De kleur van <device_name> wordt gewijzigd in <color>.,nl,assistant,0
light.turn_on,<device_name> instellen in <color>.,nl,assistant,0
light.turn_on,Zorg ervoor dat <device_name> een <color> licht weergeeft.,nl,assistant,0
light.turn_on,De kleur van <device_name> instellen op <color>.,nl,assistant,0
light.turn_off,Deactiveer <device_name> zoals gevraagd,nl,assistant,0
light.turn_off,Ik schakel <device_name> nu uit,nl,assistant,0
light.turn_off,"Oké, schakel <device_name> uit",nl,assistant,0
light.turn_off,<device_name> uitschakelen,nl,assistant,0
light.turn_off,<device_name> deactiveren,nl,assistant,0
lock.lock,De deur voor je op slot doen.,nl,assistant,0
lock.lock,Ik ga verder en doe de deur op slot.,nl,assistant,0
lock.lock,"Zeker, het slot beveiligen.",nl,assistant,0
lock.unlock,De deur ontgrendelen zoals u vroeg.,nl,assistant,0
lock.unlock,Ik zal de deur voor je openen.,nl,assistant,0
lock.unlock,"Zeker, de deur van het slot halen.",nl,assistant,0
lock.lock,Vergrendeling op <device_name> inschakelen,nl,assistant,0
lock.lock,<device_name> nu vergrendelen,nl,assistant,0
lock.lock,Beveiligen van <device_name> voor u,nl,assistant,0
lock.lock,<device_name> vergrendelen,nl,assistant,0
lock.lock,Beveiligen van <device_name>,nl,assistant,0
lock.unlock,Vergrendeling op <device_name> uitschakelen,nl,assistant,0
lock.unlock,Ontgrendel <device_name> nu,nl,assistant,0
lock.unlock,De beveiliging van <device_name> voor u ongedaan gemaakt,nl,assistant,0
lock.unlock,Ontgrendelen <device_name>,nl,assistant,0
media_player.turn_on,De mediaspeler voor u aanzetten.,nl,assistant,0
media_player.turn_on,Ik zet de mediaspeler aan.,nl,assistant,0
media_player.turn_on,"Zeker, de mediaspeler activeren.",nl,assistant,0
media_player.turn_off,De mediaspeler uitschakelen zoals gevraagd.,nl,assistant,0
media_player.turn_off,Ik zet de mediaspeler uit.,nl,assistant,0
media_player.turn_off,"Zeker, de mediaspeler deactiveren.",nl,assistant,0
media_player.toggle,De mediaspeler voor u schakelen.,nl,assistant,0
media_player.toggle,De status van de mediaspeler wijzigen.,nl,assistant,0
media_player.toggle,Ik schakel de mediaspeler in.,nl,assistant,0
media_player.volume_up,Het volume voor u verhogen.,nl,assistant,0
media_player.volume_up,"Zeker, ik zet nu het volume hoger.",nl,assistant,0
media_player.volume_up,Ik ga door en verhoog het volume.,nl,assistant,0
media_player.volume_down,Het volume verlagen zoals u vroeg.,nl,assistant,0
media_player.volume_down,Ik zal het volume voor je zachter zetten.,nl,assistant,0
media_player.volume_down,"Zeker, het volume verlagen.",nl,assistant,0
media_player.volume_mute,Het volume voor u dempen.,nl,assistant,0
media_player.volume_mute,Ik zal de mediaspeler nu dempen.,nl,assistant,0
media_player.volume_mute,"Zeker, het volume dempen.",nl,assistant,0
media_player.media_play_pause,Afspelen/pauzeren op de mediaspeler.,nl,assistant,0
media_player.media_play_pause,Wisselen tussen afspelen en pauzeren.,nl,assistant,0
media_player.media_play_pause,Ik schakel voor je tussen afspelen en pauzeren.,nl,assistant,0
media_player.media_play,Media afspelen starten.,nl,assistant,0
media_player.media_play,Ik zal de media voor je afspelen.,nl,assistant,0
media_player.media_play,"Oké, het afspelen begint.",nl,assistant,0
media_player.media_pause,Het afspelen van media pauzeren.,nl,assistant,0
media_player.media_pause,Ik pauzeer de media voor je.,nl,assistant,0
media_player.media_pause,"Zeker, het afspelen pauzeren.",nl,assistant,0
media_player.media_stop,Het afspelen van media stoppen.,nl,assistant,0
media_player.media_stop,Ik zal de media voor je stoppen.,nl,assistant,0
media_player.media_stop,"Zeker, het afspelen stoppen.",nl,assistant,0
media_player.media_next_track,Naar het volgende nummer springen.,nl,assistant,0
media_player.media_next_track,Ik ga voor je naar het volgende nummer.,nl,assistant,0
media_player.media_next_track,"Zeker, we gaan naar het volgende nummer.",nl,assistant,0
media_player.media_previous_track,Teruggaan naar het vorige nummer.,nl,assistant,0
media_player.media_previous_track,Ik ga voor je terug naar het vorige nummer.,nl,assistant,0
media_player.media_previous_track,"Natuurlijk, teruggaan naar het vorige nummer.",nl,assistant,0
media_player.volume_up,Het volume van <device_name> verhogen.,nl,assistant,0
media_player.volume_up,Zet <device_name> een beetje hoger.,nl,assistant,0
media_player.volume_up,<device_name> luider maken.,nl,assistant,0
media_player.media_play,Afspelen starten op <device_name>.,nl,assistant,0
media_player.media_play,Speel <device_name> nu af.,nl,assistant,0
media_player.media_play,Media afspelen op <device_name>.,nl,assistant,0
media_player.media_stop,<device_name> volledig stoppen.,nl,assistant,0
media_player.media_stop,Afspelen stoppen op <device_name>.,nl,assistant,0
media_player.media_stop,Sessie beëindigen op <device_name>.,nl,assistant,0
media_player.volume_down,Het volume van <device_name> verlagen.,nl,assistant,0
media_player.volume_down,Het volume van <device_name> verlagen.,nl,assistant,0
media_player.volume_down,<device_name> wordt uitgeschakeld.,nl,assistant,0
media_player.volume_mute,<device_name> dempen.,nl,assistant,0
media_player.volume_mute,<device_name> stilzetten.,nl,assistant,0
media_player.volume_mute,Demp <device_name> nu.,nl,assistant,0
media_player.media_pause,<device_name> onderbreken.,nl,assistant,0
media_player.media_pause,Pauzeert <device_name> nu.,nl,assistant,0
media_player.media_pause,Afspelen pauzeren op <device_name>.,nl,assistant,0
media_player.media_next_track,Naar het volgende nummer gaan op <device_name>.,nl,assistant,0
media_player.media_next_track,Doorgaan naar het volgende nummer op <device_name>.,nl,assistant,0
media_player.media_next_track,Dit nummer overslaan op <device_name>.,nl,assistant,0
media_player.media_previous_track,Teruggaan naar het vorige nummer op <device_name>.,nl,assistant,0
media_player.media_previous_track,Terugspoelen naar het vorige nummer op <device_name>.,nl,assistant,0
media_player.media_previous_track,Een nummer teruggaan op <device_name>.,nl,assistant,0
switch.turn_on,Ik zet de schakelaar voor u aan.,nl,assistant,0
switch.turn_on,"Natuurlijk, ik doe nu het licht aan.",nl,assistant,0
switch.turn_on,Ik ga door en zet de schakelaar aan.,nl,assistant,0
switch.turn_off,Zet de schakelaar uit zoals gevraagd.,nl,assistant,0
switch.turn_off,Ik schakel het apparaat voor je uit.,nl,assistant,0
switch.turn_off,"Zeker, de schakelaar uitzetten.",nl,assistant,0
switch.toggle,Ik zet de schakelaar voor u om.,nl,assistant,0
switch.toggle,De status van de schakelaar nu wijzigen.,nl,assistant,0
switch.toggle,Ik zet de schakelaar voor je om.,nl,assistant,0
switch.toggle,<device_name> omschakelen.,nl,assistant,0
switch.toggle,"Ja, <device_name> schakelen.",nl,assistant,0
switch.toggle,"Ja, ik kan <device_name> wijzigen.",nl,assistant,0
switch.toggle,Schakel <device_name> in zoals gevraagd.,nl,assistant,0
switch.toggle,De status van <device_name> wijzigen.,nl,assistant,0
switch.toggle,Snel schakelen tussen <device_name>.,nl,assistant,0
switch.turn_on,Ik zet <device_name> nu aan.,nl,assistant,0
switch.turn_on,Ik zet <device_name> aan.,nl,assistant,0
switch.turn_on,<device_name> activeren.,nl,assistant,0
switch.turn_on,"Oké, je zet <device_name> aan.",nl,assistant,0
switch.turn_on,Schakel <device_name> meteen in.,nl,assistant,0
switch.turn_on,"Oké, verlicht nu <device_name>.",nl,assistant,0
switch.turn_on,Schakel <device_name> indien nodig in.,nl,assistant,0
switch.turn_off,<device_name> uitschakelen.,nl,assistant,0
switch.turn_off,<device_name> uitschakelen.,nl,assistant,0
switch.turn_off,<device_name> deactiveren.,nl,assistant,0
switch.turn_off,"Oké, ik zet <device_name> uit.",nl,assistant,0
switch.turn_off,"Oké, ik schakel <device_name> uit.",nl,assistant,0
switch.turn_off,<device_name> wordt uitgeschakeld voor bedtijd.,nl,assistant,0
switch.turn_off,Ik schakel <device_name> nu uit.,nl,assistant,0
blinds.close,afsluiten van <device_name>,nl,assistant,1
blinds.close,<device_name> verlagen,nl,assistant,1
blinds.close,<device_name> sluiten,nl,assistant,1
blinds.open,<device_name> verhogen,nl,assistant,1
blinds.open,<device_name> opheffen,nl,assistant,1
blinds.open,<device_name> openen,nl,assistant,1
fan.decrease_speed,<device_name> wordt langzamer,nl,assistant,1
fan.decrease_speed,snelheid van <device_name> verlagen,nl,assistant,1
fan.decrease_speed,<device_name> verkleinen,nl,assistant,1
fan.increase_speed,<device_name> versnellen,nl,assistant,1
fan.increase_speed,toenemende snelheid van <device_name>,nl,assistant,1
fan.increase_speed,<device_name> opvoeren,nl,assistant,1
fan.toggle,schakelen tussen <device_name>,nl,assistant,1
fan.toggle,<device_name> omdraaien,nl,assistant,1
fan.turn_off,<device_name> stoppen,nl,assistant,1
fan.turn_off,<device_name> uitschakelen,nl,assistant,1
fan.turn_off,het deactiveren van <device_name>,nl,assistant,1
fan.turn_on,starten van <device_name>,nl,assistant,1
fan.turn_on,<device_name> activeren,nl,assistant,1
garage_door.close,afsluiten van <device_name>,nl,assistant,1
garage_door.close,het deactiveren van <device_name>,nl,assistant,1
garage_door.close,<device_name> sluiten,nl,assistant,1
garage_door.open,<device_name> openen,nl,assistant,1
garage_door.open,<device_name> opheffen,nl,assistant,1
garage_door.stop,<device_name> stoppen,nl,assistant,1
light.toggle,schakelen tussen <device_name>,nl,assistant,1
light.toggle,<device_name> omdraaien,nl,assistant,1
light.turn_off,<device_name> uitschakelen,nl,assistant,1
light.turn_off,het deactiveren van <device_name>,nl,assistant,1
light.turn_off,<device_name> verlagen,nl,assistant,1
light.turn_off,<device_name> uitschakelen,nl,assistant,1
light.turn_on,<device_name> inschakelen,nl,assistant,1
light.turn_on,<device_name> activeren,nl,assistant,1
light.turn_on,<device_name> inschakelen,nl,assistant,1
light.turn_on,beide <device_name> inschakelen,nl,assistant,1
lock.lock,beveiligen van <device_name>,nl,assistant,1
lock.lock,<device_name> vergrendelen,nl,assistant,1
lock.unlock,ontgrendeling van <device_name>,nl,assistant,1
lock.unlock,ontgrendelt <device_name>,nl,assistant,1
blinds.open,Ik open de jaloezieën voor je.,nl,pirate,0
blinds.open,"Ja, ik zal de jaloezieën openen.",nl,pirate,0
blinds.open,"Ja, doe nu de gordijnen open.",nl,pirate,0
blinds.close,Sluit de jaloezieën zoals je gevraagd hebt.,nl,pirate,0
blinds.close,Ik zal de gordijnen voor je sluiten.,nl,pirate,0
blinds.close,"Ja, ik doe de gordijnen dicht.",nl,pirate,0
blinds.stop,Stop nu de jaloezieën.,nl,pirate,0
blinds.stop,Ik zal de jaloezieën voor je dichtdoen.,nl,pirate,0
blinds.stop,"Ja, stop de beweging van de jaloezieën.",nl,pirate,0
blinds.toggle,Schakel de staat van de blinden voor je in.,nl,pirate,0
blinds.toggle,Schakel nu de status van de jaloezieën in.,nl,pirate,0
blinds.toggle,Ik zal de jaloezieën voor je optrekken.,nl,pirate,0
blinds.open,Het optillen van <device_name> verblindt Yarr,nl,pirate,0
blinds.open,Open <device_name> nu,nl,pirate,0
blinds.open,Roep <device_name> op voor jou,nl,pirate,0
blinds.stop,Bevries de positie van <device_name>,nl,pirate,0
blinds.stop,Stop nu met <device_name>,nl,pirate,0
blinds.stop,Stop de bewerking <device_name>,nl,pirate,0
blinds.open,Raisin' <device_name>,nl,pirate,0
blinds.close,Sluit <device_name> voor je,nl,pirate,0
blinds.close,Verlaag <device_name> nu,nl,pirate,0
blinds.close,Sluit <device_name> yarr,nl,pirate,0
blinds.close,Verlaag <device_name>,nl,pirate,0
blinds.toggle,Draai nu de status <device_name> om,nl,pirate,0
blinds.toggle,Overschakelen naar <device_name> staat yarr,nl,pirate,0
blinds.toggle,Togglin' ​​<device_name> voor jou,nl,pirate,0
blinds.toggle,Togglin' ​​<device_name>,nl,pirate,0
climate.set_humidity,"Yarrr, verhoog de luchtvochtigheid naar <humidity>, aan zee!",nl,pirate,0
climate.set_humidity,"Arrr, stel de luchtvochtigheid in op <humidity> procent, zoals je wilt!",nl,pirate,0
climate.set_humidity,"Bij het kluisje van Davy Jones, de luchtvochtigheid wordt aangepast naar <humidity>%!",nl,pirate,0
climate.set_fan_mode,"Hijs de ventilator op <fan_mode> snelheid, sneller dan een sloep!",nl,pirate,0
climate.set_fan_mode,"Arr, zet de ventilator op <fan_mode>, stabiel als ze draait!",nl,pirate,0
climate.set_fan_mode,"Geef me een rilling, zet de ventilator in de <fan_mode> instelling!",nl,pirate,0
climate.set_hvac_mode,"Blimey, schakel over naar de <hvac_mode>-modus, met volle zeilen vooruit!",nl,pirate,0
climate.set_hvac_mode,"Arrr, zet de HVAC op <hvac_mode>, stabiel als ze gaat!",nl,pirate,0
climate.set_hvac_mode,"Door de krachten, verander HVAC naar <hvac_mode>-modus!",nl,pirate,0
climate.set_temperature,"Arr, zet de temperatuur op <temp_f> graden, zo warm als de Caribische zon!",nl,pirate,0
climate.set_temperature,"Yarrr, verander de temperatuur naar <temp_c> Celsius, koeler dan diepblauw!",nl,pirate,0
climate.set_temperature,"Heup ho, zet de kamer op <temp_f> graden Fahrenheit, warm als de grog van een piraat!",nl,pirate,0
climate.set_temperature,"Avast, stel de temperatuur in op <temp_f> graden Fahrenheit, zo gezellig als een scheepscabine!",nl,pirate,0
climate.set_temperature,"Arr, zet de kamer op <temp_c> graden Celsius voor een koelere bries, zo verfrissend als oceaanmist!",nl,pirate,0
climate.set_temperature,"Ja, maak het warmer en zet de temperatuur op <temp_f> graden, als een zonovergoten baai!",nl,pirate,0
climate.set_temperature,"Blaas me neer en verlaag de temperatuur tot <temp_c> Celsius, zo levendig als de ochtendzeelucht!",nl,pirate,0
climate.set_temperature,"Yo ho, verhoog de temperatuur naar <temp_f> graden Fahrenheit, warmer dan de plundering van een piraat!",nl,pirate,0
fan.turn_on,"Zet de ventilator voor je aan, arr!",nl,pirate,0
fan.turn_on,"Ja, ik zal de ventilator voor je laten blazen.",nl,pirate,0
fan.turn_on,"Yar, zet nu de ventilator aan!",nl,pirate,0
fan.turn_off,"Vermoord de fan zoals je gevraagd hebt, maatje.",nl,pirate,0
fan.turn_off,Ik zal de ventilator voor je uitdoen.,nl,pirate,0
fan.turn_off,"Ja, zet de ventilator uit.",nl,pirate,0
fan.toggle,Ik zal de staat van de fan voor je omdraaien.,nl,pirate,0
fan.toggle,"Togglin' ​​de fan nu, bij de sterren!",nl,pirate,0
fan.toggle,"Wil je de status van de ventilator veranderen, slim?",nl,pirate,0
fan.increase_speed,"Verhoog de ventilatorsnelheid voor u, snel als de wind!",nl,pirate,0
fan.increase_speed,"Zeker als het tij, laat de ventilator nu sneller draaien.",nl,pirate,0
fan.increase_speed,"Ik zal de ventilator sneller maken, wacht even!",nl,pirate,0
fan.decrease_speed,"Verlaag de ventilatorsnelheid zoals je hebt gevraagd, stil als de diepte.",nl,pirate,0
fan.decrease_speed,"Ik zal de ventilator voor je vertragen, zo gemakkelijk als een kalme zee.",nl,pirate,0
fan.decrease_speed,"Zeker, ik verlaag de ventilatorsnelheid, nu stabiel.",nl,pirate,0
fan.toggle,"Flippin' <device_name> staat voor je, met een jo-ho-ho!",nl,pirate,0
fan.toggle,"Schakel de status van <device_name> in zoals gevraagd, op mijn eer!",nl,pirate,0
fan.toggle,"Schakel nu <device_name> in, zonder gedoe!",nl,pirate,0
fan.turn_on,Activeer <device_name> nu en vertrek!,nl,pirate,0
fan.turn_on,"Begin <device_name> voor jou, volle kracht vooruit!",nl,pirate,0
fan.turn_on,"Laten we, beginnend met <device_name>, zeker de bui trotseren!",nl,pirate,0
fan.turn_on,Zet <device_name> aan en laat de wind ons gunstig gezind zijn!,nl,pirate,0
fan.turn_on,"Begin <device_name>, bij de code!",nl,pirate,0
fan.turn_off,"Deactiveer <device_name> zoals gevraagd, stil als een verborgen baai.",nl,pirate,0
fan.turn_off,"Stop <device_name> voor jou, zo stil als het graf.",nl,pirate,0
fan.turn_off,"Zeker, stop <device_name>, alle handen!",nl,pirate,0
fan.turn_off,"Zet <device_name> uit, laten we de kraken niet wakker maken.",nl,pirate,0
fan.decrease_speed,"Verlaag de snelheid van <device_name>, soepel varen.",nl,pirate,0
fan.decrease_speed,"Verlaag de snelheid van <device_name> zoals gevraagd, zacht als een lagune.",nl,pirate,0
fan.decrease_speed,"<device_name> vertragen, dat is gemakkelijk.",nl,pirate,0
fan.increase_speed,"Verhoog de snelheid van <device_name>, vang de horizon!",nl,pirate,0
fan.increase_speed,"Verhoog nu de snelheid van <device_name>, sneller dan een vluchtend galjoen!",nl,pirate,0
fan.increase_speed,"Versnel <device_name> voor je, laten we de marine ontlopen!",nl,pirate,0
fan.increase_speed,"Verhoog de snelheid van <device_name>, om de storm te ontlopen!",nl,pirate,0
fan.decrease_speed,"De snelheid van <device_name> wordt verlaagd, terwijl we doorgaan.",nl,pirate,0
light.turn_on,"Verlicht de kamer voor jou, arr!",nl,pirate,0
light.turn_on,"Ja, ik zal nu de vertrekken verlichten.",nl,pirate,0
light.turn_on,"Uitvaren met het licht aan, dat zal ik doen!",nl,pirate,0
light.turn_off,"Doof de lichten zoals je wilt, maatje.",nl,pirate,0
light.turn_off,Ik doof het licht voor je.,nl,pirate,0
light.turn_off,"Ja, het licht doven.",nl,pirate,0
light.toggle,"Draai het licht voor je om, bij de sterren!",nl,pirate,0
light.toggle,"Verander de staat van het licht, op mijn eer!",nl,pirate,0
light.toggle,"Ik zal het licht voor je aandoen, slimme?",nl,pirate,0
light.toggle,"Draai de staat van <device_name> om, met een jojo!",nl,pirate,0
light.toggle,"Schakel de status van <device_name> in zoals opgedragen, arr!",nl,pirate,0
light.toggle,"Togglin' ​​<device_name> voor jou, zonder gedoe!",nl,pirate,0
light.toggle,"Togglin' ​​<device_name>, klaar voor avontuur!",nl,pirate,0
